CCC_GIS_ID,date,latitude,longitude,Pond Name,SDD (m),Coords from,day_str
BA-737,2001-08-22,41.6555936,-70.33537198,Long Pond,2.8,measured,2001-08-22
BA-675,2001-09-04,41.66732356,-70.44419627,Long Pond,2.0,measured,2001-09-04
BA-564,2001-09-09,41.68618314,-70.4185255,Little Pond,1.18,measured,2001-09-09
BA-565,2001-09-09,41.68436809,-70.31211495,Hathaway Pond (North),8.7,measured,2001-09-09
BA-584,2001-09-09,41.67949135,-70.41517379,Mystic Lake,3.0,measured,2001-09-09
BA-594,2001-09-09,41.68163842,-70.31464335,Hathaway Pond (South),1.0,measured,2001-09-09
BA-617,2001-09-09,41.67365622,-70.330692,Bearse Pond,2.3,measured,2001-09-09
BA-626,2001-09-09,41.67626439,-70.32105672,Shallow Pond,1.8,measured,2001-09-09
BA-640,2001-09-09,41.67124972,-70.41591144,Middle Pond,5.1,measured,2001-09-09
BA-646,2001-09-09,41.67458313,-70.27769729,Mary Dunn Pond,1.0,measured,2001-09-09
BA-664,2001-09-09,41.67196407,-70.39340587,Shubael Pond,4.6,measured,2001-09-09
BA-668,2001-09-09,41.66833883,-70.4092998,Hamblin Pond,4.2,measured,2001-09-09
BA-691,2001-09-09,41.66770745,-70.3891612,Round Pond,3.0,measured,2001-09-09
BA-694,2001-09-09,41.66644256,-70.43291737,Muddy Pond,1.8,measured,2001-09-09
BA-719,2001-09-09,41.65944366,-70.3772683,Lumbert Pond,1.2,measured,2001-09-09
BA-723,2001-09-09,41.6586938,-70.31624081,Dunns Pond,0.4,measured,2001-09-09
BA-746,2001-09-09,41.65185758,-70.4156647,Mill Pond,0.8,measured,2001-09-09
BA-748,2001-09-09,41.64977447,-70.3033797,Fawcetts Pond,0.7,measured,2001-09-09
BA-756,2001-09-09,41.64882928,-70.2966489,Aunt Bettys Pond,0.7,measured,2001-09-09
BA-759,2001-09-09,41.64868502,-70.44185441,Lovells Pond,1.6,measured,2001-09-09
BA-510,2001-09-09,41.69270386,-70.35145498,Garretts Pond,4.1,measured,2001-09-09
BA-782,2001-09-09,41.64223304,-70.33040109,Red Lily Pond,0.4,measured,2001-09-09
