Alt_Name,DEP_Check,NWI_Check,Acres,Village,Type_of_Pond,Town,Latitude,Longitude,Trophic_Class,Trophic_State_Index__TSI_,Inlet,Outlet,Volume__cubic_meters_,Maximum_Depth__ft_,Connected_to_cranberry_bog,Stocked_with_Trout,Watershed_Delineated,Herring_Run,Shape_Length,Shape_Area,NHESP_NaturalCommunity,POSPinBuffer,OBJECTID,CCC_GIS_ID,Name,Great_Pond
Kellys Pond,Open Water,,31.6239366760539,West Dennis,,Dennis,41.6601408231032,-70.1761115455992,Not Indicated,,No,Yes,,30,No,No,Yes,No,1896.08263980839,127977.53123906,No,5,3,DE-706,Kelleys Pond,Yes - not on State List
 ,Open Water,Freshwater Pond,8.88474529007931,Woods Hole,,Falmouth,41.5183845076228,-70.6588149723833,Not Indicated,,,,,,No,No,No,,1177.82904569007,35955.2885385456,No,0,4,FA-1027,Nobska Pond,No
Great Flat Pond,Open Water,,39.6386712441644,Mashpee,,Mashpee,41.55401447522,-70.4941311393157,Not Indicated,,,,,6,No,No,Yes,,2393.62430367001,160412.011299849,No,51,6,MA-987,Flat Pond,Yes - on State List
 ,Open Water,,7.60183093226975,Falmouth,,Falmouth,41.5928729476726,-70.639620533441,Not Included,,,,,,No,No,No,,740.298368622114,30763.5183302548,No,29,7,FA-933,Fresh Pond,No
 ,,,3.62228010099421,Falmouth,,Falmouth,41.5434922055172,-70.6126089544164,Not Indicated,,,,,,No,No,No,,692.173264743514,14658.8474904401,No,0,8,FA-1008,Palmers Pond,No
Salt Pond,Open Water,,1.13989706321932,Mashpee,,Mashpee,41.5552483597525,-70.4857608427613,Not Indicated,,,,,,No,No,No,,360.946680453887,4612.99975116399,No,0,9,MA-992,Lily Pond,No
 ,Open Water,,1.35388316271001,Mashpee,,Mashpee,41.5582690408168,-70.4977692589525,Not Indicated,,,,,,No,No,No,,574.324876668474,5478.97077219224,No,100,10,MA-982,Beccas Pond,No
 ,Open Water,Freshwater Pond,6.69369783125321,North Falmouth,,Falmouth,41.6328923687128,-70.6308302987238,Not Included,,,,,,Yes,No,Yes,,1192.32185488805,27088.434058012,No,9,11,FA-832,Dam Pond,No
 ,Open Water,Freshwater Pond,5.41536621896544,South Yarmouth,,Yarmouth,41.6754785627933,-70.175623891108,Not Indicated,,No,Yes,,20,No,No,No,Yes,903.816721714109,21915.2095628683,No,89,12,YA-630,Labans Pond,No
 ,Open Water,Freshwater Pond,10.8927003238699,Buzzards Bay,,Bourne,41.7489671288397,-70.6007207495984,Not Indicated,,,,,,No,No,No,,934.36200544488,44081.1942629313,No,0,13,BO-239,Bourne Pond,Yes - not on State List
 ,Open Water,Freshwater Pond,7.66003858098864,Falmouth,,Falmouth,41.5541305521688,-70.6154577152963,Not Indicated,,,,,,No,No,No,,820.251663646526,30999.0763273057,No,0,15,FA-996,Shivericks Pond,Yes - on State List
 ,Open Water,Freshwater Pond,7.41451190237156,Osterville,,Barnstable,41.6384532178888,-70.399782959651,Mesotrophic,,,,,,No,No,Yes,,704.101183038652,30005.4651110736,No,0,16,BA-802,Bog Pond,No
 ,Open Water,Freshwater Pond,3.30231345391175,Wellfleet,,Wellfleet,41.9525773920118,-70.0313803004446,Not Indicated,,,,,,No,No,No,,479.965334441386,13363.9884097407,No,0,17,WE-62,Perch Pond,No
 ,Open Water,Freshwater Pond,4.69424752372475,Falmouth,,Falmouth,41.556672774375,-70.614261431911,Not Indicated,,,,,,No,No,No,,526.51800878555,18996.9457397208,No,1,18,FA-990,Weeks Pond,No
 ,Open Water,Freshwater Pond,11.0120703259652,Osterville,,Barnstable,41.6182229970385,-70.3728036624963,Mesotrophic,,,,,,No,No,No,,827.878012122539,44564.2675225527,No,0,20,BA-878,Crystal Lake,Yes - not on State List
 ,Open Water,Freshwater Pond,12.3154318927747,Osterville,,Barnstable,41.6186791989605,-70.387518819016,Eutrophic,,,,,,No,No,No,,1286.61086118961,49838.7846499052,No,14,21,BA-875,Parker Pond,Yes - not on State List
 ,Open Water,Freshwater Pond,7.44598729260563,Osterville,,Barnstable,41.6479243610667,-70.3765474421694,Not Indicated,,,,,,No,No,Yes,,1487.58782770058,30132.8414961899,No,90,22,BA-764,West Pond,No
 ,Open Water,Freshwater Pond,0.675619525792104,Chatham,,Chatham,41.6795181866848,-69.9845544499189,Not Included,,,,,,No,No,No,,203.398293508646,2734.13521705062,No,0,23,CH-582,Meadow View Pond,No
 ,Open Water,Freshwater Pond,4.73450977524403,Chatham,,Chatham,41.7176370040016,-69.9702785751703,Not Indicated,,,,,,No,No,No,,581.077241762049,19159.8812908619,No,6,24,CH-341,Fox Pond,No
Sewells Pond,Open Water,Freshwater Pond,17.9669936326817,Buzzards Bay,,Bourne,41.7554703700658,-70.6044190664317,Not Indicated,,,,333308.592003432,28,Yes,No,No,,1218.72648202589,72709.843573638,No,4,25,BO-212,Queen Sewell Pond,Yes - not on State List
 ,Open Water,Freshwater Pond,16.1432144425441,Orleans,,Orleans,41.7950932782002,-69.9917328531276,Eutrophic,,No,No,166999.847249434,14,No,No,Yes,Yes,1298.30484502173,65329.2710449899,No,1,26,OR-122,Cedar Pond,Yes - on State List
 ,Open Water,Freshwater Pond,0.884039428337553,Wellfleet,,Wellfleet,41.9388375395031,-70.0225766413974,Not Indicated,,,,,,No,No,No,,543.095441150657,3577.58063822265,No,0,27,WE-73,Hawes Pond,No
 ,,Freshwater Pond,22.8296513787102,Provincetown,,Provincetown,42.0474412604403,-70.2031132119354,Not Indicated,,,,,3,No,No,No,,4702.52021714679,92388.3213030864,No,54,28,PR-34,Shank Painter Pond,Yes - on State List
